,phase,character,idusers,idnetwork,hint_cloth,hint_col,hat_guess,shirt_guess,pant_guess,shoe_guess,glove_guess,hat,shirt,pant,shoe,glove,score_hat,score_shirt,score_pant,score_shoe,score_glove,score,num_corrects,num_mistakes,grey,winner,grp_act_num,grp_num_corrects,grp_num_mistakes,pos
409,1.0,Guy,1261,3,scarpe,blu,2.0,10.0,9.0,5.0,6.0,2,6,9,5,6,10.0,0.0,10.0,10.0,10.0,40.0,4.0,0.0,1.0,1.0,5.0,16.0,2.0,c
410,1.0,Carmine,1264,3,guanti,celeste,10.0,10.0,4.0,10.0,6.0,1,1,4,8,6,0.0,0.0,10.0,0.0,10.0,20.0,2.0,0.0,3.0,0.0,5.0,13.0,3.0,c
413,1.0,Alessandro,1795,3,cappello,celeste,6.0,6.0,3.0,8.0,8.0,6,6,3,8,8,10.0,10.0,10.0,10.0,10.0,50.0,5.0,0.0,0.0,1.0,5.0,20.0,1.0,c
416,1.0,Maurice,1692,3,guanti,bianco,6.0,5.0,10.0,10.0,8.0,6,5,7,9,8,10.0,10.0,0.0,0.0,10.0,30.0,3.0,0.0,2.0,0.0,5.0,17.0,5.0,c
419,1.0,Nicodemo,1765,3,pantaloni,violetto,1.0,3.0,7.0,7.0,8.0,1,3,7,7,8,10.0,10.0,10.0,10.0,10.0,50.0,5.0,0.0,0.0,1.0,5.0,21.0,2.0,c
420,1.0,Harvey,1501,3,guanti,rosso,10.0,10.0,10.0,10.0,1.0,9,4,1,1,1,0.0,0.0,0.0,0.0,10.0,10.0,1.0,0.0,4.0,0.0,5.0,9.0,2.0,c
422,1.0,Giordano,922,3,scarpe,nero,5.0,3.0,7.0,9.0,1.0,5,3,7,9,1,10.0,10.0,10.0,10.0,10.0,50.0,5.0,0.0,0.0,1.0,5.0,25.0,0.0,c
423,1.0,Manolo,1756,3,guanti,verde,8.0,5.0,9.0,3.0,4.0,8,5,3,7,4,10.0,10.0,-5.0,-5.0,10.0,20.0,3.0,2.0,0.0,0.0,5.0,16.0,5.0,c
425,1.0,Wade,179,3,felpa,verde,10.0,4.0,10.0,10.0,2.0,6,4,4,4,2,0.0,10.0,0.0,0.0,10.0,20.0,2.0,0.0,3.0,0.0,5.0,14.0,0.0,c
430,1.0,Harvey,1415,3,scarpe,rosso,10.0,10.0,10.0,1.0,10.0,9,4,1,1,1,0.0,0.0,0.0,10.0,0.0,10.0,1.0,0.0,4.0,0.0,5.0,9.0,2.0,d
432,1.0,Federico,2115,3,pantaloni,blu,4.0,6.0,5.0,3.0,4.0,4,6,5,6,4,10.0,10.0,10.0,-5.0,10.0,35.0,4.0,1.0,0.0,1.0,5.0,18.0,4.0,d
433,1.0,Nicodemo,1784,3,guanti,bianco,1.0,3.0,7.0,7.0,8.0,1,3,7,7,8,10.0,10.0,10.0,10.0,10.0,50.0,5.0,0.0,0.0,1.0,5.0,21.0,2.0,d
439,1.0,Wade,959,3,cappello,celeste,6.0,10.0,4.0,4.0,10.0,6,4,4,4,2,10.0,0.0,10.0,10.0,0.0,30.0,3.0,0.0,2.0,1.0,5.0,14.0,0.0,d
440,1.0,Guy,1246,3,cappello,arancione,2.0,10.0,9.0,5.0,6.0,2,6,9,5,6,10.0,0.0,10.0,10.0,10.0,40.0,4.0,0.0,1.0,1.0,5.0,16.0,2.0,d
448,1.0,Carmine,1249,3,pantaloni,verde,10.0,10.0,4.0,10.0,6.0,1,1,4,8,6,0.0,0.0,10.0,0.0,10.0,20.0,2.0,0.0,3.0,0.0,5.0,13.0,3.0,d
450,1.0,Manolo,1976,3,felpa,blu,8.0,5.0,3.0,3.0,10.0,8,5,3,7,4,10.0,10.0,10.0,-5.0,0.0,25.0,3.0,1.0,1.0,0.0,5.0,16.0,5.0,d
453,1.0,Giorgio,189,3,scarpe,violetto,9.0,1.0,3.0,7.0,8.0,9,3,3,7,8,10.0,-5.0,10.0,10.0,10.0,35.0,4.0,1.0,0.0,0.0,5.0,17.0,2.0,d
454,1.0,Alvin,2068,3,felpa,bianco,9.0,6.0,9.0,8.0,8.0,8,8,1,6,8,-5.0,-5.0,-5.0,-5.0,10.0,-10.0,1.0,4.0,0.0,0.0,5.0,13.0,6.0,d
455,1.0,Giordano,156,3,felpa,giallo,5.0,3.0,7.0,9.0,1.0,5,3,7,9,1,10.0,10.0,10.0,10.0,10.0,50.0,5.0,0.0,0.0,1.0,5.0,25.0,0.0,d
457,1.0,Thomas,1879,3,felpa,verde,3.0,4.0,4.0,5.0,1.0,3,4,4,5,1,10.0,10.0,10.0,10.0,10.0,50.0,5.0,0.0,0.0,1.0,5.0,25.0,0.0,d
458,1.0,Alessandro,1948,3,guanti,bianco,2.0,10.0,10.0,10.0,10.0,6,6,3,8,8,-5.0,0.0,0.0,0.0,0.0,-5.0,0.0,1.0,4.0,0.0,5.0,20.0,1.0,d
461,1.0,Maurice,1678,3,scarpe,nero,6.0,5.0,7.0,9.0,8.0,6,5,7,9,8,10.0,10.0,10.0,10.0,10.0,50.0,5.0,0.0,0.0,1.0,5.0,17.0,5.0,d
463,1.0,Randall,2104,3,pantaloni,bianco,3.0,1.0,8.0,8.0,7.0,3,2,8,8,7,10.0,-5.0,10.0,10.0,10.0,35.0,4.0,1.0,0.0,1.0,5.0,14.0,3.0,d
465,1.0,Maurice,1918,3,felpa,blu,9.0,5.0,10.0,1.0,8.0,6,5,7,9,8,-5.0,10.0,0.0,-5.0,10.0,10.0,2.0,2.0,1.0,0.0,5.0,17.0,5.0,e
466,1.0,Randall,2094,3,guanti,violetto,3.0,9.0,8.0,8.0,7.0,3,2,8,8,7,10.0,-5.0,10.0,10.0,10.0,35.0,4.0,1.0,0.0,1.0,5.0,14.0,3.0,e
468,1.0,Wade,175,3,guanti,arancione,6.0,4.0,10.0,10.0,2.0,6,4,4,4,2,10.0,10.0,0.0,0.0,10.0,30.0,3.0,0.0,2.0,1.0,5.0,14.0,0.0,e
471,1.0,Manolo,1957,3,pantaloni,giallo,10.0,5.0,3.0,3.0,10.0,8,5,3,7,4,0.0,10.0,10.0,-5.0,0.0,15.0,2.0,1.0,2.0,0.0,5.0,16.0,5.0,e
472,1.0,Carmine,371,3,cappello,rosso,1.0,1.0,6.0,8.0,10.0,1,1,4,8,6,10.0,10.0,-5.0,10.0,0.0,25.0,3.0,1.0,1.0,0.0,5.0,13.0,3.0,e
473,1.0,Giorgio,99,3,felpa,giallo,10.0,3.0,10.0,10.0,10.0,9,3,3,7,8,0.0,10.0,0.0,0.0,0.0,10.0,1.0,0.0,4.0,0.0,5.0,17.0,2.0,e
475,1.0,Federico,2098,3,felpa,celeste,4.0,6.0,5.0,3.0,4.0,4,6,5,6,4,10.0,10.0,10.0,-5.0,10.0,35.0,4.0,1.0,0.0,1.0,5.0,18.0,4.0,e
477,1.0,Alessandro,1959,3,pantaloni,giallo,6.0,6.0,3.0,8.0,8.0,6,6,3,8,8,10.0,10.0,10.0,10.0,10.0,50.0,5.0,0.0,0.0,1.0,5.0,20.0,1.0,e
481,1.0,Alvin,2077,3,guanti,bianco,8.0,10.0,6.0,10.0,8.0,8,8,1,6,8,10.0,0.0,-5.0,0.0,10.0,15.0,2.0,1.0,2.0,0.0,5.0,13.0,6.0,e
485,1.0,Harvey,1518,3,pantaloni,rosso,9.0,4.0,1.0,8.0,8.0,9,4,1,1,1,10.0,10.0,10.0,-5.0,-5.0,20.0,3.0,2.0,0.0,1.0,5.0,9.0,2.0,e
488,1.0,Thomas,1771,3,scarpe,blu,3.0,4.0,4.0,5.0,1.0,3,4,4,5,1,10.0,10.0,10.0,10.0,10.0,50.0,5.0,0.0,0.0,1.0,5.0,25.0,0.0,e
489,1.0,Nicodemo,1769,3,felpa,giallo,1.0,3.0,10.0,7.0,10.0,1,3,7,7,8,10.0,10.0,0.0,10.0,0.0,30.0,3.0,0.0,2.0,0.0,5.0,21.0,2.0,e
491,1.0,Giordano,921,3,cappello,blu,5.0,3.0,7.0,9.0,1.0,5,3,7,9,1,10.0,10.0,10.0,10.0,10.0,50.0,5.0,0.0,0.0,1.0,5.0,25.0,0.0,e
492,1.0,Guy,912,3,pantaloni,nero,2.0,10.0,9.0,5.0,6.0,2,6,9,5,6,10.0,0.0,10.0,10.0,10.0,40.0,4.0,0.0,1.0,1.0,5.0,16.0,2.0,e
502,2.0,Marco,1817,1,cappello,violetto,7.0,6.0,3.0,7.0,9.0,7,6,3,7,9,10.0,10.0,10.0,10.0,10.0,50.0,5.0,0.0,0.0,1.0,5.0,23.0,0.0,a
504,2.0,Roy,1792,1,cappello,bianco,8.0,4.0,10.0,10.0,10.0,8,4,9,1,5,10.0,10.0,0.0,0.0,0.0,20.0,2.0,0.0,3.0,0.0,5.0,22.0,0.0,a
506,2.0,Attila,88,1,guanti,arancione,4.0,9.0,6.0,1.0,2.0,9,2,9,4,2,-5.0,-5.0,-5.0,-5.0,10.0,-10.0,1.0,4.0,0.0,0.0,5.0,11.0,6.0,a
507,2.0,Ercole,2013,1,guanti,violetto,2.0,5.0,6.0,9.0,7.0,4,6,9,6,7,-5.0,-5.0,-5.0,-5.0,10.0,-10.0,1.0,4.0,0.0,0.0,5.0,13.0,5.0,a
509,2.0,Gordon,234,1,scarpe,rosso,4.0,5.0,8.0,1.0,10.0,9,8,8,1,4,-5.0,-5.0,10.0,10.0,0.0,10.0,2.0,2.0,1.0,0.0,5.0,9.0,6.0,a
510,2.0,Domenico,1991,1,felpa,rosso,9.0,1.0,3.0,6.0,6.0,9,1,3,6,6,10.0,10.0,10.0,10.0,10.0,50.0,5.0,0.0,0.0,1.0,5.0,23.0,2.0,a
511,2.0,Mathew,2031,1,cappello,violetto,7.0,10.0,2.0,10.0,10.0,7,2,2,4,2,10.0,0.0,10.0,0.0,0.0,20.0,2.0,0.0,3.0,0.0,5.0,13.0,3.0,a
512,2.0,Biagio,87,1,guanti,bianco,10.0,10.0,10.0,10.0,8.0,3,9,5,6,8,0.0,0.0,0.0,0.0,10.0,10.0,1.0,0.0,4.0,0.0,5.0,11.0,2.0,a
514,2.0,Theodore,1680,1,scarpe,bianco,8.0,10.0,10.0,8.0,10.0,8,2,3,8,8,10.0,0.0,0.0,10.0,0.0,20.0,2.0,0.0,3.0,0.0,5.0,20.0,0.0,a
516,2.0,Randy,1007,1,scarpe,nero,10.0,10.0,10.0,9.0,10.0,7,4,1,9,3,0.0,0.0,0.0,10.0,0.0,10.0,1.0,0.0,4.0,0.0,5.0,11.0,4.0,a
517,2.0,Stephen,1932,1,pantaloni,violetto,10.0,5.0,7.0,10.0,10.0,7,5,7,7,8,0.0,10.0,10.0,0.0,0.0,20.0,2.0,0.0,3.0,0.0,5.0,16.0,4.0,a
518,2.0,Russell,1717,1,pantaloni,violetto,9.0,4.0,7.0,8.0,8.0,9,4,7,8,8,10.0,10.0,10.0,10.0,10.0,50.0,5.0,0.0,0.0,1.0,5.0,25.0,0.0,a
519,2.0,Gigi,341,1,felpa,blu,4.0,5.0,3.0,9.0,4.0,3,5,7,9,3,-5.0,10.0,-5.0,10.0,-5.0,5.0,2.0,3.0,0.0,0.0,5.0,18.0,4.0,a
523,2.0,Kyle,905,1,guanti,blu,10.0,10.0,8.0,10.0,5.0,6,5,8,5,5,0.0,0.0,10.0,0.0,10.0,20.0,2.0,0.0,3.0,0.0,5.0,13.0,0.0,a
530,2.0,Brent,334,1,felpa,rosso,2.0,1.0,9.0,4.0,5.0,1,1,7,5,5,-5.0,10.0,-5.0,-5.0,10.0,5.0,2.0,3.0,0.0,0.0,5.0,16.0,5.0,a
532,2.0,Bernard,1859,1,felpa,nero,1.0,9.0,7.0,4.0,3.0,1,9,7,4,3,10.0,10.0,10.0,10.0,10.0,50.0,5.0,0.0,0.0,1.0,5.0,20.0,0.0,a
534,2.0,Hector,2059,1,felpa,violetto,1.0,7.0,10.0,10.0,10.0,1,7,9,9,4,10.0,10.0,0.0,0.0,0.0,20.0,2.0,0.0,3.0,0.0,5.0,11.0,0.0,a
535,2.0,Felix,928,1,felpa,celeste,1.0,6.0,3.0,4.0,3.0,3,6,3,4,3,-5.0,10.0,10.0,10.0,10.0,35.0,4.0,1.0,0.0,0.0,5.0,15.0,7.0,a
536,2.0,Jay,2019,1,pantaloni,arancione,5.0,4.0,2.0,4.0,8.0,6,4,2,4,8,-5.0,10.0,10.0,10.0,10.0,35.0,4.0,1.0,0.0,0.0,5.0,22.0,1.0,a
539,2.0,Clifford,380,1,cappello,arancione,2.0,10.0,3.0,10.0,10.0,2,4,3,1,3,10.0,0.0,10.0,0.0,0.0,20.0,2.0,0.0,3.0,0.0,5.0,12.0,0.0,a
540,2.0,Leonard,1729,1,guanti,celeste,10.0,10.0,8.0,10.0,6.0,9,4,8,6,6,0.0,0.0,10.0,0.0,10.0,20.0,2.0,0.0,3.0,0.0,5.0,13.0,3.0,a
542,2.0,Attila,212,1,felpa,arancione,10.0,2.0,10.0,10.0,10.0,9,2,9,4,2,0.0,10.0,0.0,0.0,0.0,10.0,1.0,0.0,4.0,0.0,5.0,11.0,6.0,b
547,2.0,Stephen,1720,1,felpa,blu,10.0,5.0,7.0,7.0,10.0,7,5,7,7,8,0.0,10.0,10.0,10.0,0.0,30.0,3.0,0.0,2.0,0.0,5.0,16.0,4.0,b
550,2.0,Russell,1956,1,felpa,verde,9.0,4.0,7.0,8.0,8.0,9,4,7,8,8,10.0,10.0,10.0,10.0,10.0,50.0,5.0,0.0,0.0,1.0,5.0,25.0,0.0,b
551,2.0,Brent,293,1,pantaloni,violetto,1.0,10.0,7.0,10.0,10.0,1,1,7,5,5,10.0,0.0,10.0,0.0,0.0,20.0,2.0,0.0,3.0,0.0,5.0,16.0,5.0,b
552,2.0,Marco,1909,1,felpa,celeste,7.0,6.0,3.0,7.0,9.0,7,6,3,7,9,10.0,10.0,10.0,10.0,10.0,50.0,5.0,0.0,0.0,1.0,5.0,23.0,0.0,b
553,2.0,Mathew,1672,1,pantaloni,arancione,7.0,8.0,2.0,3.0,4.0,7,2,2,4,2,10.0,-5.0,10.0,-5.0,-5.0,5.0,2.0,3.0,0.0,0.0,5.0,13.0,3.0,b
555,2.0,Clifford,379,1,pantaloni,giallo,2.0,10.0,3.0,10.0,10.0,2,4,3,1,3,10.0,0.0,10.0,0.0,0.0,20.0,2.0,0.0,3.0,0.0,5.0,12.0,0.0,b
556,2.0,Bernard,2052,1,guanti,giallo,1.0,9.0,7.0,4.0,3.0,1,9,7,4,3,10.0,10.0,10.0,10.0,10.0,50.0,5.0,0.0,0.0,1.0,5.0,20.0,0.0,b
559,2.0,Hector,2061,1,cappello,rosso,1.0,7.0,10.0,10.0,10.0,1,7,9,9,4,10.0,10.0,0.0,0.0,0.0,20.0,2.0,0.0,3.0,0.0,5.0,11.0,0.0,b
561,2.0,Domenico,1941,1,scarpe,celeste,9.0,1.0,3.0,6.0,6.0,9,1,3,6,6,10.0,10.0,10.0,10.0,10.0,50.0,5.0,0.0,0.0,1.0,5.0,23.0,2.0,b
563,2.0,Theodore,1809,1,cappello,bianco,8.0,2.0,3.0,8.0,8.0,8,2,3,8,8,10.0,10.0,10.0,10.0,10.0,50.0,5.0,0.0,0.0,1.0,5.0,20.0,0.0,b
565,2.0,Felix,924,1,scarpe,verde,1.0,6.0,3.0,4.0,3.0,3,6,3,4,3,-5.0,10.0,10.0,10.0,10.0,35.0,4.0,1.0,0.0,0.0,5.0,15.0,7.0,b
566,2.0,Ercole,1926,1,felpa,celeste,10.0,6.0,6.0,10.0,7.0,4,6,9,6,7,0.0,10.0,-5.0,0.0,10.0,15.0,2.0,1.0,2.0,0.0,5.0,13.0,5.0,b
567,2.0,Biagio,810,1,pantaloni,blu,3.0,9.0,5.0,10.0,10.0,3,9,5,6,8,10.0,10.0,10.0,0.0,0.0,30.0,3.0,0.0,2.0,1.0,5.0,11.0,2.0,b
571,2.0,Kyle,910,1,pantaloni,bianco,10.0,10.0,8.0,10.0,5.0,6,5,8,5,5,0.0,0.0,10.0,0.0,10.0,20.0,2.0,0.0,3.0,0.0,5.0,13.0,0.0,b
574,2.0,Leonard,1775,1,pantaloni,bianco,2.0,5.0,8.0,3.0,6.0,9,4,8,6,6,-5.0,-5.0,10.0,-5.0,10.0,5.0,2.0,3.0,0.0,0.0,5.0,13.0,3.0,b
575,2.0,Jay,1971,1,felpa,verde,10.0,4.0,2.0,4.0,8.0,6,4,2,4,8,0.0,10.0,10.0,10.0,10.0,40.0,4.0,0.0,1.0,0.0,5.0,22.0,1.0,b
577,2.0,Roy,2000,1,felpa,verde,8.0,4.0,9.0,1.0,5.0,8,4,9,1,5,10.0,10.0,10.0,10.0,10.0,50.0,5.0,0.0,0.0,1.0,5.0,22.0,0.0,b
578,2.0,Gordon,105,1,pantaloni,bianco,10.0,10.0,8.0,1.0,10.0,9,8,8,1,4,0.0,0.0,10.0,10.0,0.0,20.0,2.0,0.0,3.0,1.0,5.0,9.0,6.0,b
579,2.0,Randy,992,1,cappello,violetto,7.0,2.0,6.0,1.0,4.0,7,4,1,9,3,10.0,-5.0,-5.0,-5.0,-5.0,-10.0,1.0,4.0,0.0,0.0,5.0,11.0,4.0,b
581,2.0,Gigi,21,1,cappello,giallo,3.0,10.0,7.0,9.0,3.0,3,5,7,9,3,10.0,0.0,10.0,10.0,10.0,40.0,4.0,0.0,1.0,1.0,5.0,18.0,4.0,b
585,2.0,Kyle,158,1,scarpe,blu,6.0,5.0,10.0,5.0,10.0,6,5,8,5,5,10.0,10.0,0.0,10.0,0.0,30.0,3.0,0.0,2.0,1.0,5.0,13.0,0.0,c
589,2.0,Felix,363,1,pantaloni,giallo,3.0,4.0,5.0,6.0,1.0,3,6,3,4,3,10.0,-5.0,-5.0,-5.0,-5.0,-10.0,1.0,4.0,0.0,0.0,5.0,15.0,7.0,c
590,2.0,Randy,897,1,pantaloni,rosso,10.0,4.0,1.0,10.0,3.0,7,4,1,9,3,0.0,10.0,10.0,0.0,10.0,30.0,3.0,0.0,2.0,1.0,5.0,11.0,4.0,c
593,2.0,Biagio,796,1,cappello,giallo,3.0,9.0,5.0,10.0,10.0,3,9,5,6,8,10.0,10.0,10.0,0.0,0.0,30.0,3.0,0.0,2.0,1.0,5.0,11.0,2.0,c
594,2.0,Attila,1116,1,pantaloni,nero,9.0,10.0,9.0,4.0,10.0,9,2,9,4,2,10.0,0.0,10.0,10.0,0.0,30.0,3.0,0.0,2.0,1.0,5.0,11.0,6.0,c
596,2.0,Leonard,1911,1,felpa,verde,9.0,4.0,10.0,6.0,10.0,9,4,8,6,6,10.0,10.0,0.0,10.0,0.0,30.0,3.0,0.0,2.0,1.0,5.0,13.0,3.0,c
597,2.0,Russell,1756,1,guanti,bianco,9.0,4.0,7.0,8.0,8.0,9,4,7,8,8,10.0,10.0,10.0,10.0,10.0,50.0,5.0,0.0,0.0,1.0,5.0,25.0,0.0,c
600,2.0,Jay,1689,1,cappello,celeste,6.0,4.0,2.0,4.0,8.0,6,4,2,4,8,10.0,10.0,10.0,10.0,10.0,50.0,5.0,0.0,0.0,1.0,5.0,22.0,1.0,c
601,2.0,Marco,1806,1,pantaloni,giallo,7.0,6.0,3.0,7.0,9.0,7,6,3,7,9,10.0,10.0,10.0,10.0,10.0,50.0,5.0,0.0,0.0,1.0,5.0,23.0,0.0,c
602,2.0,Bernard,1736,1,pantaloni,violetto,1.0,9.0,7.0,4.0,3.0,1,9,7,4,3,10.0,10.0,10.0,10.0,10.0,50.0,5.0,0.0,0.0,1.0,5.0,20.0,0.0,c
603,2.0,Clifford,917,1,scarpe,rosso,10.0,4.0,10.0,1.0,3.0,2,4,3,1,3,0.0,10.0,0.0,10.0,10.0,30.0,3.0,0.0,2.0,1.0,5.0,12.0,0.0,c
604,2.0,Roy,1960,1,pantaloni,nero,8.0,4.0,9.0,1.0,5.0,8,4,9,1,5,10.0,10.0,10.0,10.0,10.0,50.0,5.0,0.0,0.0,1.0,5.0,22.0,0.0,c
605,2.0,Stephen,1908,1,guanti,bianco,5.0,5.0,5.0,7.0,8.0,7,5,7,7,8,-5.0,10.0,-5.0,10.0,10.0,20.0,3.0,2.0,0.0,0.0,5.0,16.0,4.0,c
608,2.0,Hector,2119,1,scarpe,nero,10.0,10.0,9.0,9.0,4.0,1,7,9,9,4,0.0,0.0,10.0,10.0,10.0,30.0,3.0,0.0,2.0,1.0,5.0,11.0,0.0,c
610,2.0,Gordon,170,1,guanti,verde,10.0,8.0,10.0,10.0,4.0,9,8,8,1,4,0.0,10.0,0.0,0.0,10.0,20.0,2.0,0.0,3.0,1.0,5.0,9.0,6.0,c
614,2.0,Domenico,1781,1,pantaloni,giallo,9.0,1.0,3.0,6.0,5.0,9,1,3,6,6,10.0,10.0,10.0,10.0,-5.0,35.0,4.0,1.0,0.0,0.0,5.0,23.0,2.0,c
616,2.0,Gigi,386,1,guanti,giallo,3.0,10.0,7.0,9.0,3.0,3,5,7,9,3,10.0,0.0,10.0,10.0,10.0,40.0,4.0,0.0,1.0,1.0,5.0,18.0,4.0,c
617,2.0,Theodore,1990,1,pantaloni,giallo,10.0,2.0,3.0,10.0,8.0,8,2,3,8,8,0.0,10.0,10.0,0.0,10.0,30.0,3.0,0.0,2.0,0.0,5.0,20.0,0.0,c
618,2.0,Brent,367,1,guanti,blu,1.0,10.0,7.0,8.0,5.0,1,1,7,5,5,10.0,0.0,10.0,-5.0,10.0,25.0,3.0,1.0,1.0,0.0,5.0,16.0,5.0,c
620,2.0,Ercole,1886,1,pantaloni,nero,4.0,10.0,9.0,6.0,10.0,4,6,9,6,7,10.0,0.0,10.0,10.0,0.0,30.0,3.0,0.0,2.0,0.0,5.0,13.0,5.0,c
622,2.0,Mathew,1951,1,scarpe,verde,10.0,2.0,10.0,4.0,2.0,7,2,2,4,2,0.0,10.0,0.0,10.0,10.0,30.0,3.0,0.0,2.0,1.0,5.0,13.0,3.0,c
626,2.0,Randy,896,1,felpa,verde,10.0,4.0,1.0,10.0,3.0,7,4,1,9,3,0.0,10.0,10.0,0.0,10.0,30.0,3.0,0.0,2.0,1.0,5.0,11.0,4.0,d
628,2.0,Kyle,136,1,felpa,blu,6.0,5.0,10.0,5.0,10.0,6,5,8,5,5,10.0,10.0,0.0,10.0,0.0,30.0,3.0,0.0,2.0,1.0,5.0,13.0,0.0,d
629,2.0,Hector,2111,1,pantaloni,nero,10.0,10.0,9.0,10.0,4.0,1,7,9,9,4,0.0,0.0,10.0,0.0,10.0,20.0,2.0,0.0,3.0,0.0,5.0,11.0,0.0,d
630,2.0,Felix,348,1,guanti,giallo,1.0,10.0,10.0,10.0,3.0,3,6,3,4,3,-5.0,0.0,0.0,0.0,10.0,5.0,1.0,1.0,3.0,0.0,5.0,15.0,7.0,d
631,2.0,Attila,1126,1,scarpe,verde,9.0,3.0,9.0,4.0,8.0,9,2,9,4,2,10.0,-5.0,10.0,10.0,-5.0,20.0,3.0,2.0,0.0,0.0,5.0,11.0,6.0,d
636,2.0,Marco,1958,1,scarpe,violetto,10.0,10.0,3.0,7.0,9.0,7,6,3,7,9,0.0,0.0,10.0,10.0,10.0,30.0,3.0,0.0,2.0,0.0,5.0,23.0,0.0,d
637,2.0,Jay,1940,1,scarpe,verde,10.0,4.0,2.0,4.0,8.0,6,4,2,4,8,0.0,10.0,10.0,10.0,10.0,40.0,4.0,0.0,1.0,0.0,5.0,22.0,1.0,d
641,2.0,Mathew,1993,1,felpa,arancione,10.0,2.0,10.0,4.0,2.0,7,2,2,4,2,0.0,10.0,0.0,10.0,10.0,30.0,3.0,0.0,2.0,1.0,5.0,13.0,3.0,d
642,2.0,Gigi,387,1,scarpe,nero,3.0,10.0,7.0,9.0,3.0,3,5,7,9,3,10.0,0.0,10.0,10.0,10.0,40.0,4.0,0.0,1.0,1.0,5.0,18.0,4.0,d
644,2.0,Leonard,1861,1,scarpe,celeste,9.0,4.0,10.0,6.0,10.0,9,4,8,6,6,10.0,10.0,0.0,10.0,0.0,30.0,3.0,0.0,2.0,1.0,5.0,13.0,3.0,d
